CHEBI:145617	G50195ND
CHEBI:145618	G53394BX
CHEBI:145619	G54046EC
CHEBI:145620	G54511PJ
CHEBI:145621	G59406KS
CHEBI:145622	G60200IZ
CHEBI:145623	G61328AC
CHEBI:145624	G63629SO
CHEBI:145625	G64919UI
CHEBI:145626	G65996GC
CHEBI:145627	G67600YJ
CHEBI:145628	G70332TM
CHEBI:145629	G71587NH
CHEBI:145630	G72079JG
CHEBI:145631	G72103RY
CHEBI:145632	G74351TO
CHEBI:145633	G74665DT
CHEBI:145634	G74740WV
CHEBI:145635	G74960IM
CHEBI:145636	G77285LE
CHEBI:145637	G78098IA
CHEBI:145638	G80637HO
CHEBI:145639	G83797YW
CHEBI:145640	G87711HP
CHEBI:145641	G90562PB
CHEBI:145643	G91727DR
CHEBI:145644	G98256YA
CHEBI:145645	G99524KA
CHEBI:145646	G99739TG
CHEBI:145664	G51256ID
CHEBI:145745	G92557EF
CHEBI:145777	G40755CI
CHEBI:145779	G32631BM
CHEBI:145834	G53884GR
CHEBI:145883	G04220HB
CHEBI:145884	G05108UT
CHEBI:145885	G13746SQ
CHEBI:145887	G24599MW
CHEBI:145888	G37216UM
CHEBI:145889	G73545YE
CHEBI:145890	G82207VX
CHEBI:145908	G11457RF
CHEBI:145911	G89307GT
CHEBI:146031	G00231WL
CHEBI:146032	G00024MO
CHEBI:146033	G00247PL
CHEBI:146034	G00025AJ
CHEBI:146035	G00272VU
CHEBI:146036	G00043MO
CHEBI:146037	G00279YF
CHEBI:146038	G00060MO
CHEBI:146039	G00287UD
CHEBI:146040	G00062MO
CHEBI:146041	G00294BL
CHEBI:146042	G00063MO
CHEBI:146043	G00306VT
CHEBI:146044	G00064MO
CHEBI:146045	G00320ZP
CHEBI:146046	G00067MO
CHEBI:146047	G00335DM
CHEBI:146048	G00090SL
CHEBI:146049	G00361YF
CHEBI:146050	G00112IO
CHEBI:146051	G00370EI
CHEBI:146052	G00120QS
CHEBI:146053	G00383KP
CHEBI:146054	G00395FS
CHEBI:146055	G00140XB
CHEBI:146056	G00152LK
CHEBI:146057	G00395TQ
CHEBI:146058	G00153LJ
CHEBI:146059	G00413UF
CHEBI:146060	G00175GT
CHEBI:146061	G00423RQ
CHEBI:146062	G00176HZ
CHEBI:146063	G00428HK
CHEBI:146064	G00194ZL
CHEBI:146065	G00430ZK
CHEBI:146066	G00199JR
CHEBI:146068	G00433KW
CHEBI:146069	G00435KX
CHEBI:146070	G00457KD
CHEBI:146071	G00461ZN
CHEBI:146072	G00467QU
